Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,Kennewick,WA,,,9/30/2022,17.7
Msa,Kerrville,TX,,,9/30/2022,12.8
Msa,Ketchikan,AK,,,9/30/2022,10.9
Msa,Key West,FL,,,9/30/2022,24.1
Msa,Kill Devil Hills,NC,,,9/30/2022,22.5
Msa,Killeen,TX,,,9/30/2022,24.1
Msa,Kingsport,TN,,,9/30/2022,13.2
Msa,Kingston,NY,,,9/30/2022,16.9
Msa,Kingsville,TX,,,9/30/2022,11.4
Msa,Klamath Falls,OR,,,9/30/2022,16.9
Msa,Knoxville,TN,,,9/30/2022,19.8
Msa,Kokomo,IN,,,9/30/2022,13.8
Msa,La Crosse,WI,,,9/30/2022,12.8
Msa,Laconia,NH,,,9/30/2022,15.4
Msa,Lafayette,LA,,,9/30/2022,9.5
Msa,Lafayette-West Lafayette,IN,,,9/30/2022,15
Msa,Lake Charles,LA,,,9/30/2022,7
Msa,Lake City,FL,,,9/30/2022,15.1
Msa,Lake Havasu City,AZ,,,9/30/2022,26.5
Msa,Lakeland,FL,,,9/30/2022,25.6
Msa,Lancaster,PA,,,9/30/2022,14.1
Msa,Lansing,MI,,,9/30/2022,12.3
Msa,Laredo,TX,,,9/30/2022,11.3
Msa,Las Cruces,NM,,,9/30/2022,11
Msa,Las Vegas,NM,,,9/30/2022,12.7
Msa,Las Vegas,NV,,,9/30/2022,18.5
Msa,Laurel,MS,,,9/30/2022,10.3
Msa,Lawrence,KS,,,9/30/2022,13.9
Msa,Lawrenceburg,TN,,,9/30/2022,13
Msa,Lawton,OK,,,9/30/2022,12.9
Msa,Lebanon,MO,,,9/30/2022,12.5
Msa,Lebanon,PA,,,9/30/2022,13.9
Msa,Lewisburg,PA,,,9/30/2022,12.7
Msa,Lewisburg,TN,,,9/30/2022,19.4
Msa,Lewiston,ME,,,9/30/2022,13.7
Msa,Lewistown,PA,,,9/30/2022,12.9
Msa,Lexington,KY,,,9/30/2022,12
Msa,Liberal,KS,,,9/30/2022,7.1
Msa,Lima,OH,,,9/30/2022,16.1
Msa,Lincoln,NE,,,9/30/2022,11.7
Msa,Little Rock,AR,,,9/30/2022,11.6
Msa,Lock Haven,PA,,,9/30/2022,13
Msa,Logan,UT,,,9/30/2022,27
Msa,Logan,WV,,,9/30/2022,9.5
Msa,Longview,TX,,,9/30/2022,18
Msa,Longview,WA,,,9/30/2022,16.4
Msa,Los Alamos,NM,,,9/30/2022,14.4
Msa,Los Angeles-Long Beach-Anaheim,CA,,,9/30/2022,13.7
Msa,Louisville-Jefferson County,KY,,,9/30/2022,12.5
Msa,Lubbock,TX,,,9/30/2022,13.3
Msa,Ludington,MI,,,9/30/2022,17.3
Msa,Lynchburg,VA,,,9/30/2022,13
Msa,Macon-Bibb County,GA,,,9/30/2022,15.1
Msa,Madera,CA,,,9/30/2022,16.7
Msa,Madison,WI,,,9/30/2022,11.4
Msa,Madisonville,KY,,,9/30/2022,13.3
Msa,Magnolia,AR,,,9/30/2022,11.3
Msa,Malone,NY,,,9/30/2022,11.3
Msa,Malvern,AR,,,9/30/2022,13.6
Msa,Manchester,NH,,,9/30/2022,12.9
Msa,Manitowoc,WI,,,9/30/2022,15.8
Msa,Mankato,MN,,,9/30/2022,11.6
Msa,Mansfield,OH,,,9/30/2022,12.5
Msa,Marion,IN,,,9/30/2022,11.2
Msa,Marion,NC,,,9/30/2022,16.5
Msa,Marion,OH,,,9/30/2022,15.5
Msa,Marshall,MO,,,9/30/2022,16.6
Msa,Mayfield,KY,,,9/30/2022,12.4
Msa,Maysville,KY,,,9/30/2022,13.8
Msa,McAlester,OK,,,9/30/2022,11.5
Msa,McAllen,TX,,,9/30/2022,13.7
Msa,McComb,MS,,,9/30/2022,9.1
Msa,McMinnville,TN,,,9/30/2022,14.6
Msa,Meadville,PA,,,9/30/2022,13.5
Msa,Medford,OR,,,9/30/2022,12
Msa,Melbourne,FL,,,9/30/2022,23.3
Msa,Memphis,TN,,,9/30/2022,16.4
Msa,Merced,CA,,,9/30/2022,21.7
Msa,Meridian,MS,,,9/30/2022,8.7
Msa,Miami,OK,,,9/30/2022,12.5
Msa,Miami-Fort Lauderdale,FL,,,9/30/2022,20.6
Msa,Michigan City,IN,,,9/30/2022,13.9
Msa,Midland,MI,,,9/30/2022,11.1
