RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021
395045,25,"Sacramento, CA",Msa,CA,462983,468667,476983,485650,491650,491633,486633,479967,472300,465633,458933,456300,458300,466333,481000,492650,504617,513283,521600,522966,517933,509633,503296,504996,511330,521000,527667,528000,527667,529167,538833,547833,559663,568330,579663,586650,594650,597650,594000,602667,611667,625000,625000,618333,611667
395055,26,"San Antonio, TX",Msa,TX,279966,280000,283000,288666,295000,298333,297667,293500,288478,283478,281478,280833,280833,280633,281633,284966,289966,292966,292933,289633,286550,283247,281247,278997,278633,278967,282633,286167,290167,293800,297300,299933,299600,297933,294463,290616,288279,289113,292993,298543,303380,312046,326833,340667,347300
394943,27,"Orlando, FL",Msa,FL,299900,302933,309300,317667,323000,325000,324967,323267,319933,314933,308300,303267,299933,299933,303463,310163,318497,323333,325000,325000,325633,325633,325633,325000,324990,326623,328923,326233,322933,320967,325333,328667,330867,332467,332467,331567,328300,326633,328333,335000,343333,354967,366300,377967,384633
394466,28,"Cincinnati, OH",Msa,OH,218300,219967,231600,248267,261600,267633,265967,259300,252300,245633,242000,236300,232967,236633,249967,266300,279467,285800,287800,284300,278567,271900,265533,261300,261267,269600,283233,295600,308967,322300,333300,334633,327667,319300,309630,304963,304663,312633,323963,337630,351297,354967,351169,337869,327568
394475,29,"Cleveland, OH",Msa,OH,161411,161567,164900,171267,176267,181300,183300,183300,181600,179867,178233,176567,174800,176433,179767,185371,191737,196737,199300,196267,192933,188267,184933,181600,179900,180600,185633,192000,201300,209600,218267,221300,214633,206267,196567,192267,190467,197133,211133,226267,235800,234467,227500,214667,205500
394735,30,"Kansas City, MO",Msa,MO,254933,259967,269633,274633,277317,275983,275150,272467,272967,280467,287133,293300,296600,306633,319933,331283,337917,336267,329933,319933,312950,308267,304967,301967,306333,316333,332667,342667,352667,359633,364933,361600,353300,344000,339000,335667,336633,346933,361917,378200,383233,379583,366667,354633,346399
394775,31,"Las Vegas, NV",Msa,NV,290167,291967,294967,306300,324333,341333,349333,347967,341300,333297,324963,321597,318233,314933,312299,312833,316167,320500,323333,324333,322633,320933,319933,319967,321583,325883,334217,335633,333000,329633,334630,341297,344663,346333,347167,347167,345833,345000,353333,371000,395967,415967,426633,435000,443667
394492,32,"Columbus, OH",Msa,OH,254267,268467,285133,302433,311600,316933,315267,306933,294933,283267,274767,268133,264800,269967,286633,306633,319967,325933,325967,320300,309330,295330,285963,280300,282600,292267,306233,316233,326567,336567,344933,341600,329967,321297,317963,318284,316662,319829,327838,338127,341627,337963,331300,324633,314960
394705,33,"Indianapolis, IN",Msa,IN,210250,215217,227183,251600,272467,284133,279767,270267,260267,249600,239932,233265,229965,234967,248300,266633,281600,286633,284933,279933,274933,269933,264633,257967,256300,261133,272800,282800,291611,302244,310911,315900,309930,299630,286330,277630,274263,277563,284567,292900,297567,298935,295602,294302,291633
395059,34,"San Jose, CA",Msa,CA,1071296,1104629,1154629,1208333,1246000,1262629,1245629,1199592,1149629,1115963,1082633,1048633,1015596,1031963,1065963,1112667,1139000,1155667,1142667,1116333,1099650,1099317,1095946,1069296,1068962,1102666,1162666,1188333,1191333,1208000,1237108,1254108,1253775,1243000,1242983,1226317,1215983,1215833,1232833,1249833,1266629,1283129,1283463,1266167,1249333
